,acc_phone_X,acc_phone_Y,acc_phone_Z,lin_acc_phone_X,lin_acc_phone_Y,lin_acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,location_phone_Latitude,location_phone_Longitude,location_phone_Height,location_phone_Velocity,location_phone_Direction,location_phone_Horizontal Accuracy,location_phone_Vertical Accuracy,mag_phone_X,mag_phone_Y,mag_phone_Z,proximity_phone_Distance,acc_phone_X_outlier,acc_phone_Y_outlier,acc_phone_Z_outlier,lin_acc_phone_X_outlier,lin_acc_phone_Y_outlier,lin_acc_phone_Z_outlier,gyr_phone_X_outlier,gyr_phone_Y_outlier,gyr_phone_Z_outlier,mag_phone_X_outlier,mag_phone_Y_outlier,mag_phone_Z_outlier
2025-06-04 11:54:47.334940032,-6.311314016538462,-1.1136495384615386,-7.488627319384614,-0.0192835812264166,0.1282247249458333,-0.0620516270408333,0.000603440567,-0.001928424734525,-0.002213459723825,,,,,,,,8.015578587833334,-11.4499230375,32.073753992499995,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:47.584940032,-6.3180615234166675,-1.1223660279166665,-7.4840742875,-0.0286983143356153,0.0910312186861538,-0.05517518149,0.0018083238033846,-0.002356938766993,0.0001236222183461,,,,,,,,8.126343360307692,-11.495625570769231,32.22086070076924,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:47.834940032,-6.31658766523077,-1.115065824,-7.481488318846153,-0.0249990883476666,0.0808088796783333,-0.0460993020225,-0.0024721791268516,0.0002719211430366,0.00083060006735,52.61918366,4.731846076,0.6426412873,0.02374883159,224.882431,4.254927972,3.0,8.25432713825,-11.557828028333333,32.30012258083333,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:48.084940032,-6.310090599083332,-1.1072724150833333,-7.490947494499999,-0.0252814264033846,0.0746681961130769,-0.0570059447115384,-0.0020841186185538,0.002327010339823,0.0016491283179046,,,,,,,,8.369148254307692,-11.675431104615384,32.34456253076923,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:48.334940032,-6.306293687076923,-1.102330768076923,-7.489974517846155,-0.0166012197729999,0.0727517271391666,-0.0500128921883333,-0.0003706420126558,0.0032257980973666,0.0010878556738416,,,,,,,,8.326617558666667,-11.673598051666666,32.13496081,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:48.584940032,-6.3032423399166655,-1.0979418183333334,-7.50035293575,-0.028944257222923,0.0462503794584615,-0.0456452544838461,-0.0012119972290661,0.0019521915281538,0.0008763304616615,,,,,,,,8.152785081153846,-11.610156719230767,32.26749449538461,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:48.834940032,-6.3001909930769235,-1.101329005230769,-7.501753868692308,-0.0287737584108333,0.0306168799666666,-0.0481366181375,-0.0006519435749999,-0.0001797525910833,-0.000355961785865,52.61918957,4.731826932,0.5818998301,0.3058119704,224.882431,4.3851878,3.0,8.230570475166667,-11.527791259166667,32.31005795666666,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:49.084940032,-6.303866043,-1.0984158324166666,-7.497172050500001,-0.0285760175728461,0.029089138858,-0.0331038764792307,-0.0002779201223976,0.0006015176992307,0.0003247332954992,,,,,,,,8.293083777769231,-11.378335511538465,32.147384936923075,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:49.334940032,-6.306616093538461,-1.095134195153846,-7.500913309,-0.0334584426423076,0.0228082340963076,-0.0401766685330769,0.0002574340883384,-0.0003988175795923,-0.0003476770004076,,,,,,,,8.341241689769232,-11.431456566153846,32.26057580692307,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:49.584940032,-6.297496596153845,-1.0963432195384617,-7.49937036376923,-0.0293817713860833,0.0175764683441666,-0.0399192823483333,-0.0002442060843749,0.00017916248171,6.723866688333338e-05,,,,,,,,8.510447184166667,-11.5765619275,32.0310052225,,False,False,False,False,False,False,False,False,False,False,False,False
